station_id,station_name
10570,"Smolyan - Bibliotekata, Bulgaria"
10558,"Sarajevo Ilijaš, Bosnia Herzegovina"
10568,"Pernik - Center, Bulgaria"
10567,"Devnya - Izvorite, Bulgaria"
10573,"Sliven, Bulgaria"
10574,"Lovech, Bulgaria"
10571,"Plovdiv - zh.k. Trakia, Bulgaria"
10578,"Medical Sciences, KhorramAbad, Lorestan, Iran (علوم پزشکی خرم آباد لرستان)"
10572,"G.Oryahovitsa, Bulgaria"
10592,"Saghez, Kordestan, Iran (سقز كردستان)"
10576,"Stara Zagora - Zelen Klin, Bulgaria"
10575,Name not available
10586,"Ahvaz, Khouzestan, Iran (اهواز- اداره کل  اهواز خوزستان)"
10585,"Behbahan, Khouzestan, Iran (بهبهان خوزستان)"
10587,"Shooshtar, Khouzestan, Iran (شوشتر خوزستان)"
10580,"Eshtehard, Alborz, Iran (اشتهارد البرز)"
10590,"Ganaveh, Bushehr, Iran (گناوه بوشهر)"
10589,"Bushehr, Iran (بوشهر)"
10593,"Darreh Shahr, Ilam, Iran (دره شهر ایلام)"
10596,"Dehloran, Ilam, Iran (دهلران ایلام)"
10598,"Moshtagh Sq, Kerman, Iran (کرمان -میدان مشتاق کرمان كرمان)"
10577,Name not available
10603,"Hendijan, Khouzestan, Iran (هندیجان خوزستان)"
10602,"Shush, Khouzestan, Iran (شوش خوزستان)"
10601,"Omidieh, Khouzestan, Iran (امیدیه خوزستان)"
10595,"Mehran, Ilam, Iran (مهران ایلام)"
10599,"Abadan, Khouzestan, Iran (آبادان خوزستان)"
10606,"Nahavand, Hamadan, Iran (نهاوند همدان)"
10600,"Andimeshk, Khouzestan, Iran (اندیمشک خوزستان)"
106,"Greenbluff Rd, Colbert, Washington, USA"
10604,"Khoramshahr, Khouzestan, Iran (خرمشهر خوزستان)"
10597,"Eyvan, Ilam, Iran (ایوان ایلام)"
10607,"AsadAbad, Hamadan, Iran (اسدآباد همدان)"
10614,"Gachsaran, Kohgolie va Boyer Ahman, Iran (گچساران كهگیلویه و بویراحمد)"
10608,"Meybod, YAZD, Iran (میبد یزد)"
10605,"Hamedan, Hamadan, Iran (همدان)"
10612,"ShahrKord, Shahr e kord, Chahar Mahal, Iran (شهرکرد چهارمحال بختیاری)"
10610,"Bukan, AZ-West, Iran (بوکان آذربایجان غربی)"
10626,"Elm o San'at, Tehran (علم و صنعت تهران)"
10627,"Malard, Tehran, Iran (ملارد تهران)"
10609,"Khorasan Shomali, Bojnurd, Khorasan Shomali, Iran (بجنورد خراسان شمالی)"
10629,"Mash'had Resalat, Mashhad, Khorasan  Razavi, Iran (مشهد - رسالت مشهد خراسان رضوی)"
10635,"Paveh, Kerman Shah, Iran (پاوه- فرمانداری پاوه كرمانشاه)"
10624,"Kangan, Bushehr, Iran (کنگان بوشهر)"
10636,"Kermanshah - Shahrdari Markazi, Kermanshah, Kerman Shah, Iran (کرمانشاه - شهرداری مرکزی کرمانشاه كرمانشاه)"
10637,"Rasht, Gilan, Iran (رشت- محیط زیست رشت گیلان)"
10615,"Birjand, Khorasan Jonoubi, Iran (بیرجند- اداره کل  بیرجند خراسان جنوبی)"
10618,"Salmas, AZ-West, Iran (سلماس آذربایجان غربی)"
10632,"Hamidieh, Ahvaz, Khouzestan, Iran (حمیدیه اهواز خوزستان)"
10641,"Shazand, Markazy, Iran (شازند مركزی)"
10622,Name not available
10634,"Kerman-Edareh _Kol, Kerman, Iran (کرمان -هوانیروز کرمان كرمان)"
10651,"Sharafkhane, Tabriz, AZ-East, Iran (آذربایجان شرقی تبریز شرفخانه)"
10645,"Qorveh, Gorveh, Kordestan, Iran (قروه  قروه كردستان)"
10638,"Yazd - Menabe Tabiei, Yazd, YAZD, Iran (یزد -  منابع طبیعی یزد)"
10631,"Zanjan Ark, Zanjan, Iran (زنجان - ارک زنجان)"
10640,"Saveh, Markazy, Iran (ساوه- میدان آزادی ساوه مركزی)"
10665,"Urmia No 3 , Urmia, AZ-West, Iran (شماره 3 ارومیه ارومیه آذربایجان غربی)"
10664,"Yasuj, Kohgolie va Boyer Ahman, Iran (یاسوج كهگیلویه و بویراحمد)"
10643,"Zarand, Kerman, Iran (زرند كرمان)"
10648,"Rigan, rigan, Kerman, Iran (ریگان شهرستان ریگان كرمان)"
10666,"Kermanshah, Kerman Shah, Iran (کرمانشاه- استانداری کرمانشاه كرمانشاه)"
10650,"Ajabshir, Tabriz, AZ-East, Iran (آذربایجان شرقی تبریز عجب شیر)"
10660,"Sarableh, Chardavol, Ilam, Iran (سرابله چرداول ایلام)"
10670,"Kocaeli Gebze, Turkey"
10675,"Sakarya Hendek OSB, Turkey"
10671,"Kocaeli Gebze OSB, Turkey"
10662,"Dezfoul, Khouzestan, Iran (دزفول خوزستان)"
10667,"Ghasre Shirin, Kerman Shah, Iran (قصرشیرین كرمانشاه)"
10674,"Balikesir Erdemit, Turkey"
10663,"Mahshahr, Khouzestan, Iran (ماهشهر خوزستان)"
10687,"El Camal, Quito, Ecuador"
10688,"Rengo, Chile"
10685,"Guamaní, Quito, Ecuador"
10684,"Cardiff Newport Road, United Kingdom"
10689,"San Fernando, Chile"
10680,"Narberth, United Kingdom"
10672,"Tekirdag Corlu OSB, Turkey"
10701,"Limeira, São Paulo, Brazil"
10686,"Tumbaco, Quito, Ecuador"
10690,"Kingston College, Chile"
10698,"La Union, Chile"
10697,"Alerce, Chile"
10694,"Balneario Curanilahue, Chile"
10699,"Vialidad, Chile"
10691,"Punteras, Chile"
10710,"Airdrie, Alberta, Canada"
10703,"Taubaté, São Paulo, Brazil"
10695,"Hualqui, Chile"
10719,Central West LLS Dubbo
10708,"Mundka, Delhi, Delhi, India"
10706,"Narela, Delhi, Delhi, India"
10718,Armidale Northern Tablelands
10713,"Redwater, Alberta, Canada"
10709,"Buffalo Viewpoint, Alberta, Canada"
10712,"Janvier, Alberta, Canada"
10725,Latrobe
10724,Queenstown
10727,North Ward
10714,"Duncan College Street, British Comlumbia, Canada"
10720,Murray LLS Kyalite
10743,"Station 7, Mobile stations, Israel (ישראל,ניידת7, תחנות ניידות)"
10741,"The Jubilee, Southern Coastal Plain, Israel (ישראל,היובל, מישור החוף הדרומי)"
10721,Riverina LLS Hay
10726,Southport
10742,"Ketura, Northern Negev, Israel (ישראל,קטורה, צפון הנגב)"
10731,"Columbus NR - Smoky Row, Ohio, USA"
10723,Western LLS Buronga
10788,"Ostandary, Arak, Markazy, Iran (استانداری اراک مركزی)"
10786,"Cheshmeh, Tehran (چشمه تهران)"
10780,"Olievenhoutbosch-NAQI, City of Tshwane, South Africa"
10759,"Secunda, Gert Sibande, South Africa"
10783,"Karoo-NAQI, Namakwa, South Africa"
10814,"Leon IV, León, Spain"
10795,"Abhar, Zanjan, Iran (ابهر - زنجان ابهر زنجان)"
10799,"Aranda de Duero II, Burgos, Spain"
108,"Loomis, Custer, Washington, USA"
10798,"Avila II, Spain"
10801,"Burgos IV, Spain"
10803,"Miranda de Ebro II, Burgos, Spain"
10812,"La Robla, León, Spain"
10823,"Salamanca 5, Spain"
10821,"Guardo, Palencia, Spain"
10813,Name not available
10822,"Palencia III, Spain"
10825,"Segovia II, Spain"
10827,"Medina del Campo, Valladolid, Spain"
10826,"Soria, Spain"
10833,"Habichtstraße, Hamburg, Germany"
10838,"Pirmasens-Innenstadt, Germany"
10837,"Ludwigshafen-Mundenheim, Germany"
10828,"Zamora II, Spain"
10835,"Max-Brauer-Allee II, Hamburg, Germany"
10842,"Frankfurt-Schwanheim, Germany"
10843,"Odenwald, Fürth, Germany"
10846,"Kellerwald, Germany"
10831,"Lake Ilo, North Dakota, USA"
10841,"Frankfurt-Höchst, Germany"
10839,"Bebra, Germany"
10858,"Heppenheim-Lehrstraße, Germany"
10834,"Kieler Straße, Hamburg, Germany"
10856,"Fulda-Petersberger Str., Germany"
10849,"Raunheim, Germany"
10864,"Michelstadt, Germany"
10844,"Hanau, Germany"
10857,"Gießen-Westanlage, Germany"
10859,"Kassel-Fünffensterstr., Germany"
10860,"Kleiner Feldberg, Germany"
10865,"Offenbach-Untere Grenzstraße, Germany"
10861,"Limburg-Schiede, Germany"
10863,"Marburg-Univers.Straße, Germany"
10871,"Zierenberg, Germany"
10867,"Wasserkuppe, Germany"
10869,"Wiesbaden-Schiersteiner Str., Germany"
10866,"Riedstadt, Germany"
10873,"Inverness, United Kingdom"
10868,Name not available
10853,Name not available
10886,"Brockau, Germany"
10876,"Greenwich - John Harrison Way, United Kingdom"
10870,"Wald, Witzenhausen, Germany"
10879,"Cranbrook Muriel Baxter, British Comlumbia, Canada"
10885,"Bautzen, Germany"
10884,Name not available
10894,"Klingenthal, Germany"
10889,"Dresden-Bergstraße, Germany"
10890,"Dresden-Nord, Germany"
10895,"Leipzig-Mitte, Germany"
10903,"Kiel-Bahnhofstr. Verk., Schleswig-Holstein, Germany"
10902,"Lübeck-St. Jürgen, Schleswig-Holstein, Germany"
10893,"Goerlitz, Germany"
10899,"Radebeul-Wahnsdorf, Germany"
10900,"Schwartenberg, Germany"
10906,"Eggebek, Schleswig-Holstein, Germany"
10897,"Niesky, Germany"
10898,"Plauen-Sued, Germany"
